SA2_MAINCODE_2016,Train_M,Train_F,Train_P,Bus_M,Bus_F,Bus_P,Ferry_M,Ferry_F,Ferry_P,Tram_M,Tram_F,Tram_P,Taxi_M,Taxi_F,Taxi_P,Car_Driver_M,Car_Driver_F,Car_Driver_P,Car_Pass_M,Car_Pass_F,Car_Pass_P,Truck_M,Truck_F,Truck_P,Mbike_M,Mbike_F,Mbike_P,Bike_M,Bike_F,Bike_P,Other_M,Other_F,Other_P,Walk_M,Walk_F,Walk_P,Tot_M,Tot_F,Tot_P
205031091,13,3,17,17,9,20,0,0,0,3,0,3,3,0,3,1403,1245,2648,76,86,162,28,0,34,7,6,19,25,9,38,13,5,22,74,73,146,1660,1443,3103
205031092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,4
205031093,8,3,14,17,13,32,0,0,0,9,0,5,0,4,3,3017,2529,5550,170,163,330,63,0,61,14,0,14,46,12,59,32,18,50,164,166,331,3542,2916,6457
205041094,11,3,13,19,18,32,3,0,0,0,0,0,0,0,0,1851,1648,3501,90,109,201,37,0,37,15,3,16,4,0,9,14,8,22,53,36,94,2092,1822,3919
205041095,33,19,51,34,16,50,0,4,4,0,0,0,11,3,15,2341,2041,4383,164,148,316,33,0,33,15,0,15,14,6,24,14,7,17,48,51,96,2703,2301,5003
205041096,25,12,42,20,19,42,0,0,0,0,0,0,8,7,9,1710,1461,3171,126,120,253,32,0,32,11,0,11,11,9,21,20,7,24,63,53,116,2029,1688,3716
205041097,21,17,37,49,38,83,3,0,3,3,0,4,13,18,26,4674,4161,8833,288,289,583,44,3,46,24,3,25,47,8,53,43,10,58,131,130,260,5344,4672,10018
205041098,0,4,3,3,0,6,0,0,0,0,0,0,0,0,0,865,699,1563,36,35,67,26,0,26,5,0,6,0,0,3,6,0,7,13,13,30,966,753,1716
205051099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,10,4,14
205051100,0,3,5,8,0,8,0,0,0,0,0,0,0,0,0,561,467,1028,25,46,71,12,0,12,11,3,14,8,0,9,25,3,31,73,26,102,724,548,1272
