,SA2_MAINCODE_2016,Mode,Mode1,Gender,Count,MaleCount,FemaleCount,UnspecifiedCount,FemaleProp,MaleProp,UnspecifiedProp,,,
295,211051276,Train_M,Train,Male,27,27,0,0,0,0.000170595,0,,,
296,211051277,Train_M,Train,Male,65,65,0,0,0,0.000410691,0,,,
297,211051278,Train_M,Train,Male,173,173,0,0,0,0.001093069,0,,,
298,211051279,Train_M,Train,Male,16,16,0,0,0,0.000101093,0,,,
299,211051280,Train_M,Train,Male,47,47,0,0,0,0.000296961,0,,,
300,211051281,Train_M,Train,Male,330,330,0,0,0,0.002085045,0,,,
301,211051282,Train_M,Train,Male,83,83,0,0,0,0.00052442,0,,,
302,211051283,Train_M,Train,Male,58,58,0,0,0,0.000366462,0,,,
303,211051284,Train_M,Train,Male,195,195,0,0,0,0.001232072,0,,,
304,211051285,Train_M,Train,Male,22,22,0,0,0,0.000139003,0,,,
305,211051286,Train_M,Train,Male,12,12,0,0,0,7.58E-05,0,,,
306,212011287,Train_M,Train,Male,177,177,0,0,0,0.001118342,0,,,
307,212011288,Train_M,Train,Male,45,45,0,0,0,0.000284324,0,,,
308,212011289,Train_M,Train,Male,57,57,0,0,0,0.000360144,0,,,
309,212011290,Train_M,Train,Male,14,14,0,0,0,8.85E-05,0,,,
310,212011291,Train_M,Train,Male,174,174,0,0,0,0.001099387,0,,,
311,212011292,Train_M,Train,Male,321,321,0,0,0,0.00202818,0,,,
312,212021293,Train_M,Train,Male,252,252,0,0,0,0.001592216,0,,,
313,212021294,Train_M,Train,Male,371,371,0,0,0,0.002344096,0,,,
314,212021295,Train_M,Train,Male,62,62,0,0,0,0.000391736,0,,,
315,212021297,Train_M,Train,Male,104,104,0,0,0,0.000657105,0,,,
316,212021299,Train_M,Train,Male,40,40,0,0,0,0.000252733,0,,,
317,212021453,Train_M,Train,Male,77,77,0,0,0,0.00048651,0,,,
318,212021454,Train_M,Train,Male,109,109,0,0,0,0.000688697,0,,,
319,212021455,Train_M,Train,Male,130,130,0,0,0,0.000821381,0,,,
320,212021456,Train_M,Train,Male,173,173,0,0,0,0.001093069,0,,,
321,212031300,Train_M,Train,Male,158,158,0,0,0,0.000998294,0,,,
322,212031301,Train_M,Train,Male,296,296,0,0,0,0.001870222,0,,,
323,212031302,Train_M,Train,Male,236,236,0,0,0,0.001491123,0,,,
324,212031303,Train_M,Train,Male,37,37,0,0,0,0.000233778,0,,,
325,212031304,Train_M,Train,Male,149,149,0,0,0,0.000941429,0,,,
326,212031305,Train_M,Train,Male,210,210,0,0,0,0.001326847,0,,,
327,212031306,Train_M,Train,Male,311,311,0,0,0,0.001964997,0,,,
328,212031308,Train_M,Train,Male,13,13,0,0,0,8.21E-05,0,,,
329,212031457,Train_M,Train,Male,105,105,0,0,0,0.000663423,0,,,
330,212031458,Train_M,Train,Male,154,154,0,0,0,0.000973021,0,,,
331,212041309,Train_M,Train,Male,206,206,0,0,0,0.001301573,0,,,
332,212041310,Train_M,Train,Male,386,386,0,0,0,0.00243887,0,,,
333,212041311,Train_M,Train,Male,351,351,0,0,0,0.002217729,0,,,
334,212041312,Train_M,Train,Male,161,161,0,0,0,0.001017249,0,,,
335,212041313,Train_M,Train,Male,82,82,0,0,0,0.000518102,0,,,
336,212041314,Train_M,Train,Male,289,289,0,0,0,0.001825994,0,,,
337,212041316,Train_M,Train,Male,60,60,0,0,0,0.000379099,0,,,
338,212041317,Train_M,Train,Male,359,359,0,0,0,0.002268276,0,,,
339,212041318,Train_M,Train,Male,106,106,0,0,0,0.000669742,0,,,
340,212041459,Train_M,Train,Male,292,292,0,0,0,0.001844949,0,,,
341,212041460,Train_M,Train,Male,343,343,0,0,0,0.002167183,0,,,
342,212051319,Train_M,Train,Male,485,485,0,0,0,0.003064384,0,,,
343,212051320,Train_M,Train,Male,505,505,0,0,0,0.00319075,0,,,
344,212051321,Train_M,Train,Male,442,442,0,0,0,0.002792696,0,,,
345,212051322,Train_M,Train,Male,479,479,0,0,0,0.003026474,0,,,
346,212051323,Train_M,Train,Male,382,382,0,0,0,0.002413597,0,,,
347,212051324,Train_M,Train,Male,493,493,0,0,0,0.00311493,0,,,
348,212051325,Train_M,Train,Male,190,190,0,0,0,0.00120048,0,,,
349,212051326,Train_M,Train,Male,651,651,0,0,0,0.004113224,0,,,
350,212051327,Train_M,Train,Male,192,192,0,0,0,0.001213117,0,,,
351,213011328,Train_M,Train,Male,241,241,0,0,0,0.001522714,0,,,
352,213011329,Train_M,Train,Male,134,134,0,0,0,0.000846654,0,,,
353,213011330,Train_M,Train,Male,314,314,0,0,0,0.001983951,0,,,
354,213011331,Train_M,Train,Male,89,89,0,0,0,0.00056233,0,,,
355,213011332,Train_M,Train,Male,166,166,0,0,0,0.001048841,0,,,
356,213011333,Train_M,Train,Male,109,109,0,0,0,0.000688697,0,,,
357,213011334,Train_M,Train,Male,356,356,0,0,0,0.002249321,0,,,
